###### GATHER WARNING ######
# NO Gathering method specified ! 
# Thus : if the system is requested to be gathered, 
# the gathering will be done according to the 1st atom of the previous molecule
#                      selected      heavy sasa
# time                    atoms           atoms
   39.000000000     3.612968305     3.612968305
   39.500000000     3.612491915     3.612491915
   40.000000000     3.612735333     3.612735333
   40.500000000     3.612371932     3.612371932
   41.000000000     3.612878400     3.612878400
   41.500000000     3.613251553     3.613251553
   42.000000000     3.612501501     3.612501501
   42.500000000     3.612286203     3.612286203
   43.000000000     3.612543583     3.612543583
   43.500000000     3.612722468     3.612722468
   44.000000000     3.612853570     3.612853570
   44.500000000     3.612422349     3.612422349
   45.000000000     3.612395749     3.612395749
   45.500000000     3.611890969     3.611890969
   46.000000000     3.612392819     3.612392819
   46.500000000     3.612348199     3.612348199
   47.000000000     3.612588678     3.612588678
   47.500000000     3.612435602     3.612435602
   48.000000000     3.612605552     3.612605552
   48.500000000     3.612473460     3.612473460
   49.000000000     3.612752886     3.612752886
   49.500000000     3.612865422     3.612865422
   50.000000000     3.612208242     3.612208242
   50.500000000     3.612676769     3.612676769
   51.000000000     3.612491731     3.612491731
   51.500000000     3.612995592     3.612995592
   52.000000000     3.613001555     3.613001555
   52.500000000     3.612809107     3.612809107
   53.000000000     3.612129860     3.612129860
   53.500000000     3.613287572     3.613287572
   54.000000000     3.613391555     3.613391555
   54.500000000     3.612240058     3.612240058
   55.000000000     3.612347868     3.612347868
   55.500000000     3.613192747     3.613192747
   56.000000000     3.613899029     3.613899029
   56.500000000     3.613179456     3.613179456
   57.000000000     3.613296674     3.613296674
   57.500000000     3.612691098     3.612691098
   58.000000000     3.612289019     3.612289019
   58.500000000     3.612350138     3.612350138
   59.000000000     3.613071915     3.613071915
   59.500000000     3.612335330     3.612335330
   60.000000000     3.611686434     3.611686434
   60.500000000     3.613279103     3.613279103
   61.000000000     3.612456964     3.612456964
   61.500000000     3.612746512     3.612746512
   62.000000000     3.612288892     3.612288892
   62.500000000     3.613089240     3.613089240
   63.000000000     3.613166554     3.613166554
   63.500000000     3.614118368     3.614118368
   64.000000000     3.613711463     3.613711463
   64.500000000     3.614283042     3.614283042
   65.000000000     3.612462529     3.612462529
   65.500000000     3.613544443     3.613544443
   66.000000000     3.611949571     3.611949571
   66.500000000     3.613299409     3.613299409
   67.000000000     3.613122703     3.613122703
   67.500000000     3.613217113     3.613217113
   68.000000000     3.613526572     3.613526572
   68.500000000     3.614614079     3.614614079
   69.000000000     3.612952644     3.612952644
   69.500000000     3.614319071     3.614319071
   70.000000000     3.612973600     3.612973600
   70.500000000     3.614925532     3.614925532
   71.000000000     3.612425034     3.612425034
   71.500000000     3.612844391     3.612844391
   72.000000000     3.613117198     3.613117198
   72.500000000     3.613355098     3.613355098
   73.000000000     3.612540013     3.612540013
   73.500000000     3.612971602     3.612971602
   74.000000000     3.613960225     3.613960225
   74.500000000     3.613713885     3.613713885
   75.000000000     3.613061875     3.613061875
   75.500000000     3.613224415     3.613224415
   76.000000000     3.612299113     3.612299113
   76.500000000     3.612573874     3.612573874
   77.000000000     3.612823009     3.612823009
   77.500000000     3.612934790     3.612934790
   78.000000000     3.613130903     3.613130903
   78.500000000     3.612860509     3.612860509
   79.000000000     3.614572301     3.614572301
   79.500000000     3.612802674     3.612802674
   80.000000000     3.611592451     3.611592451
   80.500000000     3.613773053     3.613773053
   81.000000000     3.612223885     3.612223885
   81.500000000     3.612777939     3.612777939
   82.000000000     3.612402593     3.612402593
   82.500000000     3.612303047     3.612303047
   83.000000000     3.612763688     3.612763688
   83.500000000     3.611773025     3.611773025
   84.000000000     3.613336070     3.613336070
   84.500000000     3.613324681     3.613324681
   85.000000000     3.612391859     3.612391859
   85.500000000     3.613187473     3.613187473
   86.000000000     3.614290917     3.614290917
